id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
16672-polid-22603-16017,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19033,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,26,100.0,26,16017,Cerro Gordo,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16018,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19035,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,7,100.0,7,16018,Cherokee,False,,,Iowa,IA,False,False,181,0.453634,True
16672-polid-1445-16018,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19035,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,7,100.0,7,16018,Cherokee,False,,,Iowa,IA,False,False,218,0.546366,False
16672-polid-100004-16018,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19035,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,7,100.0,7,16018,Cherokee,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16018,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19035,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,7,100.0,7,16018,Cherokee,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16018,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19035,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,7,100.0,7,16018,Cherokee,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16019,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19037,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,13,100.0,13,16019,Chickasaw,False,,,Iowa,IA,False,False,360,0.601002,True
16672-polid-1445-16019,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19037,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,13,100.0,13,16019,Chickasaw,False,,,Iowa,IA,False,False,233,0.388982,False
16672-polid-22603-16019,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19037,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,13,100.0,13,16019,Chickasaw,False,,,Iowa,IA,False,False,6,0.010017,False
16672-polid-100004-16019,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19037,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,13,100.0,13,16019,Chickasaw,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16019,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19037,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,13,100.0,13,16019,Chickasaw,False,,,Iowa,IA,False,False,0,0.0,False
